state,score,state_lower
Alabama,0.47534958484130124,alabama
Alaska,0.46571746597103286,alaska
Arizona,0.6550039836989605,arizona
Arkansas,0.4628999683470127,arkansas
California,0.7146400756417998,california
Colorado,0.5483325319936111,colorado
Connecticut,0.7795002461155982,connecticut
Delaware,0.8176667980917581,delaware
District of Columbia,0.7430006096548865,district of columbia
Florida,0.5825784958783131,florida
Georgia,0.5123332194418502,georgia
Hawaii,0.806250024512877,hawaii
Idaho,0.3889491358499166,idaho
Illinois,0.5101150557719277,illinois
Indiana,0.45024722605591794,indiana
Iowa,0.3962657256938288,iowa
Kansas,0.3981679816981068,kansas
Kentucky,0.49143133930404037,kentucky
Louisiana,0.5236686842313534,louisiana
Maine,0.5923831204538639,maine
Maryland,0.7427504023161037,maryland
Massachusetts,0.7972857807123169,massachusetts
Michigan,0.5748164477797578,michigan
Minnesota,0.37558439564571655,minnesota
Mississippi,0.5268914582975999,mississippi
Missouri,0.376603223331854,missouri
Montana,0.3225785574166782,montana
Nebraska,0.35408192089629753,nebraska
Nevada,0.6134795092936696,nevada
New Hampshire,0.6263017216391326,new hampshire
New Jersey,0.7484288503234331,new jersey
New Mexico,0.6686920472013892,new mexico
New York,0.7715793929024054,new york
North Carolina,0.6033198468803395,north carolina
North Dakota,0.25729051759000615,north dakota
Ohio,0.4389193673102165,ohio
Oklahoma,0.3861697538758049,oklahoma
Oregon,0.6408352231902056,oregon
Pennsylvania,0.6719781283197165,pennsylvania
Rhode Island,0.8020000703118711,rhode island
South Carolina,0.5328367164928498,south carolina
South Dakota,0.3596739412177448,south dakota
Tennessee,0.4272224970113701,tennessee
Texas,0.6037046669296985,texas
Utah,0.4283447951699388,utah
Vermont,0.6600005864652134,vermont
Virginia,0.6383956967141869,virginia
Washington,0.6698736526653212,washington
West Virginia,0.4824438066840577,west virginia
Wisconsin,0.43354612668766035,wisconsin
Wyoming,0.33645155454626724,wyoming
NA,0.4602778682852923,NA
