BPC,CCR,Report_Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Administrative_Closure,Allegation,Finding,ofcrRace,ofcrSex,ObjectId
16-1,67127,2016/01/01 00:00:00+00,Walk In,65,Black,Female,2016/01/25 00:00:00+00,UNKNOWN COMMAND,,Procedure,Not Sustained,Unknown,Unknown,1
16-2,67128,2016/01/04 00:00:00+00,Walk In,75,Black,Male,2016/01/21 00:00:00+00,11TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,Black,Male,2
16-2,67128,2016/01/04 00:00:00+00,Walk In,75,Black,Male,2016/01/21 00:00:00+00,11TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,Black,Male,3
16-3,67129,2016/01/04 00:00:00+00,Telephone (or TDD),60,Black,Female,2016/03/07 00:00:00+00,5TH PRECINCT,,Demeanor,No Charge,,Male,4
16-3,67129,2016/01/04 00:00:00+00,Telephone (or TDD),60,Black,Female,2016/03/07 00:00:00+00,5TH PRECINCT,,Demeanor,Not Sustained,Hispanic,Male,5
16-3,67129,2016/01/04 00:00:00+00,Telephone (or TDD),60,Black,Female,2016/03/07 00:00:00+00,5TH PRECINCT,,Force,Not Sustained,Hispanic,Male,6
16-3,67129,2016/01/04 00:00:00+00,Telephone (or TDD),60,Black,Female,2016/03/07 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,Hispanic,Male,7
16-3,67129,2016/01/04 00:00:00+00,Telephone (or TDD),60,Black,Female,2016/03/07 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,,Male,8
16-4,67130,2016/01/04 00:00:00+00,Walk In,39,Black,Male,2016/01/21 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Procedure,Admin. Closure,Unknown,Unknown,9
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Demeanor,Sustained,White,Male,10
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Demeanor,Sustained,White,Male,11
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Entry,Not Sustained,White,Male,12
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Force,Not Sustained,White,Male,13
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Procedure,Exonerated,White,Male,14
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Procedure,Exonerated,White,Male,15
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Procedure,Sustained,White,Male,16
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Procedure,Sustained,White,Male,17
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Procedure,Unfounded,White,Male,18
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Property,No Charge,White,Male,19
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Property,No Charge,White,Male,20
16-5,67131,2016/01/04 00:00:00+00,In-Custody,33,Black,Male,2016/03/28 00:00:00+00,6TH PRECINCT,,Service,Unfounded,White,Male,21
16-6,67132,2016/01/05 00:00:00+00,Walk In,30,Black,Male,2016/02/24 00:00:00+00,12TH PRECINCT,,Demeanor,Not Sustained,Black,Male,22
16-6,67132,2016/01/05 00:00:00+00,Walk In,30,Black,Male,2016/02/24 00:00:00+00,12TH PRECINCT,,Procedure,Exonerated,Black,Male,23
16-7,67133,2016/01/05 00:00:00+00,Walk In,41,Black,Female,2016/03/22 00:00:00+00,HOMICIDE SECTION,,Demeanor,No Charge,Black,Male,24
16-7,67133,2016/01/05 00:00:00+00,Walk In,41,Black,Female,2016/03/22 00:00:00+00,HOMICIDE SECTION,,Procedure,Not Sustained,Black,Male,25
16-7,67133,2016/01/05 00:00:00+00,Walk In,41,Black,Female,2016/03/22 00:00:00+00,HOMICIDE SECTION,,Service,Exonerated,Black,Male,26
16-7,67133,2016/01/05 00:00:00+00,Walk In,41,Black,Female,2016/03/22 00:00:00+00,HOMICIDE SECTION,,Service,Not Sustained,Black,Male,27
16-8,67134,2016/01/05 00:00:00+00,Walk In,36,Black,Male,2016/02/24 00:00:00+00,3RD PRECINCT,,Arrest,Exonerated,White,Male,28
16-8,67134,2016/01/05 00:00:00+00,Walk In,36,Black,Male,2016/02/24 00:00:00+00,3RD PRECINCT,,Arrest,Exonerated,White,Male,29
16-8,67134,2016/01/05 00:00:00+00,Walk In,36,Black,Male,2016/02/24 00:00:00+00,3RD PRECINCT,,Search,Exonerated,White,Male,30
