Date,Open,High,Low,Close,Adj Close,Volume
2014-01-17,252.000000,267.750000,246.750000,257.250000,257.250000,1500
2014-01-21,266.700012,286.649994,266.700012,278.250000,278.250000,1700
2014-01-22,288.750000,288.750000,262.500000,278.250000,278.250000,800
2014-01-23,267.750000,278.250000,248.850006,248.850006,248.850006,600
2014-01-24,250.425003,278.250000,249.375000,266.700012,266.700012,200
2014-01-27,273.000000,283.500000,267.750000,273.000000,273.000000,200
2014-01-28,273.000000,273.000000,257.250000,262.500000,262.500000,200
2014-01-29,277.200012,277.200012,259.350006,273.000000,273.000000,0
2014-01-30,273.000000,276.149994,256.200012,256.200012,256.200012,600
2014-01-31,257.250000,288.750000,252.000000,257.250000,257.250000,200
2014-02-03,267.750000,267.750000,237.300003,246.750000,246.750000,400
2014-02-04,241.500000,252.000000,241.500000,252.000000,252.000000,100
2014-02-05,252.000000,262.500000,240.449997,262.500000,262.500000,100
2014-02-06,262.500000,320.250000,241.500000,308.700012,308.700012,1600
2014-02-07,315.000000,357.000000,315.000000,333.899994,333.899994,500
2014-02-10,341.250000,341.250000,273.000000,315.000000,315.000000,600
2014-02-11,336.000000,336.000000,309.750000,312.899994,312.899994,300
2014-02-12,336.000000,336.000000,289.799988,315.000000,315.000000,900
2014-02-13,315.000000,320.250000,299.250000,315.000000,315.000000,200
2014-02-14,315.000000,366.450012,294.000000,299.250000,299.250000,600
2014-02-18,341.250000,341.250000,299.250000,315.000000,315.000000,1300
2014-02-19,316.049988,357.000000,316.049988,346.500000,346.500000,1400
2014-02-20,355.950012,435.750000,351.750000,400.049988,400.049988,3900
2014-02-21,409.500000,565.950012,404.250000,544.950012,544.950012,6900
2014-02-24,650.474976,863.099976,598.500000,803.250000,803.250000,14400
2014-02-25,771.750000,771.750000,616.349976,625.799988,625.799988,9300
2014-02-26,676.200012,706.650024,627.900024,672.000000,672.000000,2500
2014-02-27,698.250000,729.750000,682.500000,682.500000,682.500000,1900
2014-02-28,684.599976,684.599976,614.250000,630.000000,630.000000,2900
2014-03-03,615.299988,617.400024,367.500000,557.549988,557.549988,2400
2014-03-04,582.750000,582.750000,540.750000,540.750000,540.750000,900
2014-03-05,548.099976,579.599976,540.750000,567.000000,567.000000,1900
2014-03-06,577.500000,623.700012,573.299988,605.849976,605.849976,1800
2014-03-07,605.325012,605.849976,542.849976,567.000000,567.000000,1600
2014-03-10,567.000000,577.500000,530.250000,543.900024,543.900024,1100
2014-03-11,535.500000,543.900024,493.500000,509.250000,509.250000,2000
2014-03-12,509.250000,509.250000,452.549988,476.700012,476.700012,2000
2014-03-13,475.649994,496.649994,465.149994,472.500000,472.500000,1300
2014-03-14,465.149994,476.700012,464.100006,464.100006,464.100006,500
2014-03-17,477.750000,497.700012,462.000000,467.250000,467.250000,1000
2014-03-18,473.549988,525.000000,472.500000,522.900024,522.900024,3500
2014-03-19,530.250000,530.250000,451.500000,467.250000,467.250000,1800
2014-03-20,468.299988,468.299988,425.250000,446.250000,446.250000,1700
2014-03-21,446.250000,446.250000,395.850006,408.450012,408.450012,1900
2014-03-24,414.750000,420.000000,349.649994,374.850006,374.850006,2300
2014-03-25,369.600006,374.850006,341.250000,361.200012,361.200012,1400
2014-03-26,343.350006,392.700012,342.299988,343.350006,343.350006,2300
2014-03-27,343.350006,358.049988,315.000000,346.500000,346.500000,2500
2014-03-28,367.500000,383.250000,336.000000,346.500000,346.500000,1200
2014-03-31,357.000000,357.000000,325.500000,334.950012,334.950012,1200
2014-04-01,326.024994,355.950012,322.350006,340.200012,340.200012,1700
2014-04-02,346.500000,355.950012,322.350006,330.750000,330.750000,1000
2014-04-03,327.600006,344.399994,323.399994,325.500000,325.500000,700
2014-04-04,333.899994,336.000000,315.000000,315.000000,315.000000,1100
2014-04-07,316.049988,319.200012,281.399994,283.500000,283.500000,1100
2014-04-08,285.600006,289.799988,273.000000,273.000000,273.000000,1400
2014-04-09,278.250000,278.250000,262.500000,263.549988,263.549988,1000
2014-04-10,260.399994,269.850006,242.550003,263.549988,263.549988,1200
2014-04-11,266.700012,266.700012,235.199997,238.350006,238.350006,1100
2014-04-14,238.350006,259.350006,237.300003,242.550003,242.550003,600
2014-04-15,249.899994,249.899994,236.250000,245.699997,245.699997,400
2014-04-16,267.750000,267.750000,243.600006,257.250000,257.250000,300
2014-04-17,259.350006,281.399994,257.250000,278.250000,278.250000,300
2014-04-21,283.500000,292.950012,264.600006,265.649994,265.649994,400
2014-04-22,267.750000,283.500000,265.649994,281.399994,281.399994,200
2014-04-23,294.000000,298.200012,287.700012,294.000000,294.000000,400
2014-04-24,312.899994,370.649994,305.549988,367.500000,367.500000,1200
2014-04-25,369.600006,369.600006,320.250000,325.500000,325.500000,700
2014-04-28,330.750000,330.750000,288.750000,298.200012,298.200012,900
2014-04-29,300.299988,304.500000,283.500000,294.000000,294.000000,500
2014-04-30,299.250000,299.250000,283.500000,299.250000,299.250000,200
2014-05-01,304.500000,304.500000,285.600006,294.000000,294.000000,200
2014-05-02,294.000000,294.000000,284.549988,286.649994,286.649994,300
2014-05-05,291.899994,291.899994,274.049988,277.200012,277.200012,300
2014-05-06,280.350006,304.500000,279.299988,297.149994,297.149994,300
2014-05-07,297.149994,298.200012,275.100006,275.100006,275.100006,400
2014-05-08,276.149994,285.600006,257.250000,273.000000,273.000000,1000
2014-05-09,257.250000,278.250000,237.300003,261.450012,261.450012,700
2014-05-12,261.450012,261.450012,239.399994,241.500000,241.500000,600
2014-05-13,243.600006,250.949997,243.600006,247.800003,247.800003,200
2014-05-14,255.149994,262.500000,252.000000,256.200012,256.200012,400
2014-05-15,258.299988,258.299988,252.000000,255.149994,255.149994,100
2014-05-16,256.200012,256.200012,246.750000,252.000000,252.000000,100
2014-05-19,256.200012,260.399994,256.200012,256.200012,256.200012,100
2014-05-20,252.000000,253.050003,241.500000,241.500000,241.500000,100
2014-05-21,241.500000,246.750000,225.750000,225.750000,225.750000,400
2014-05-22,225.750000,241.500000,225.750000,235.199997,235.199997,300
2014-05-23,235.199997,242.550003,222.600006,235.199997,235.199997,200
2014-05-27,236.250000,236.250000,224.699997,231.000000,231.000000,300
2014-05-28,235.199997,241.500000,235.199997,241.500000,241.500000,200
2014-05-29,246.750000,256.200012,241.500000,244.649994,244.649994,100
2014-05-30,252.000000,273.000000,250.949997,273.000000,273.000000,100
2014-06-02,273.000000,328.649994,267.750000,299.250000,299.250000,700
2014-06-03,301.875000,304.500000,294.000000,294.000000,294.000000,100
2014-06-04,294.000000,294.000000,279.299988,292.950012,292.950012,100
2014-06-05,294.000000,311.850006,280.350006,304.500000,304.500000,300
2014-06-06,283.500000,304.500000,261.450012,299.250000,299.250000,700
2014-06-09,304.500000,306.600006,273.000000,299.250000,299.250000,300
2014-06-10,275.100006,298.200012,275.100006,283.500000,283.500000,200
2014-06-11,283.500000,283.500000,278.250000,282.450012,282.450012,0
2014-06-12,282.450012,294.000000,257.250000,282.450012,282.450012,400
2014-06-13,283.500000,296.100006,252.000000,283.500000,283.500000,900
2014-06-16,270.899994,270.899994,237.300003,241.500000,241.500000,1000
2014-06-17,237.300003,254.100006,237.300003,239.399994,239.399994,800
2014-06-18,238.350006,245.699997,219.449997,229.949997,229.949997,1200
2014-06-19,225.750000,265.649994,225.750000,234.149994,234.149994,900
2014-06-20,227.850006,241.500000,227.850006,237.300003,237.300003,500
2014-06-23,227.850006,227.850006,153.300003,176.399994,176.399994,17900
2014-06-24,181.649994,181.649994,156.449997,164.429993,164.429993,6200
2014-06-25,168.000000,180.600006,162.750000,173.250000,173.250000,2600
2014-06-26,174.300003,176.399994,157.500000,168.000000,168.000000,1700
2014-06-27,168.000000,177.449997,155.399994,163.800003,163.800003,1400
2014-06-30,168.000000,171.149994,154.350006,154.350006,154.350006,1300
2014-07-01,155.925003,159.600006,141.750000,154.350006,154.350006,1700
2014-07-02,155.399994,157.500000,149.100006,153.300003,153.300003,1400
2014-07-03,156.449997,159.600006,148.050003,149.100006,149.100006,500
2014-07-07,152.250000,166.949997,152.250000,159.600006,159.600006,1200
2014-07-08,162.750000,171.149994,154.350006,154.350006,154.350006,1100
2014-07-09,157.500000,157.500000,143.850006,149.100006,149.100006,1100
2014-07-10,152.250000,157.500000,143.850006,152.250000,152.250000,300
2014-07-11,154.350006,158.550003,148.050003,155.399994,155.399994,700
2014-07-14,152.250000,156.449997,131.250000,141.750000,141.750000,1900
2014-07-15,143.850006,145.949997,137.550003,141.750000,141.750000,500
2014-07-16,144.899994,144.899994,139.649994,141.750000,141.750000,400
2014-07-17,144.899994,151.199997,141.750000,144.899994,144.899994,1100
2014-07-18,147.000000,150.149994,142.800003,142.800003,142.800003,1200
2014-07-21,145.949997,152.250000,142.800003,142.800003,142.800003,600
2014-07-22,147.000000,149.100006,144.899994,145.949997,145.949997,1100
2014-07-23,145.949997,149.100006,145.425003,148.050003,148.050003,500
2014-07-24,147.000000,149.100006,142.800003,144.899994,144.899994,200
2014-07-25,145.949997,145.949997,141.750000,141.750000,141.750000,300
2014-07-28,141.750000,147.000000,138.600006,139.649994,139.649994,1400
2014-07-29,142.800003,143.850006,136.500000,137.550003,137.550003,200
2014-07-30,140.699997,140.699997,120.750000,136.500000,136.500000,2200
2014-07-31,132.300003,133.875000,124.949997,128.100006,128.100006,400
2014-08-01,130.199997,130.199997,123.900002,126.000000,126.000000,1500
2014-08-04,136.500000,136.500000,126.000000,126.000000,126.000000,1600
2014-08-05,127.050003,129.149994,122.849998,123.900002,123.900002,800
2014-08-06,124.949997,128.100006,120.750000,124.949997,124.949997,400
2014-08-07,126.000000,126.000000,117.599998,120.750000,120.750000,300
2014-08-08,119.699997,119.699997,104.474998,107.099998,107.099998,1800
2014-08-11,120.750000,120.750000,108.150002,108.150002,108.150002,700
2014-08-12,110.775002,117.599998,107.099998,115.500000,115.500000,2700
2014-08-13,115.500000,119.699997,111.300003,112.349998,112.349998,1400
