country,gdp_ppp_pcap
Qatar,138910
Macau,113352
Luxembourg,112045
Singapore,105689
Ireland,86988
Brunei,85011
Norway,79638
United Arab Emirates,70441
Kuwait,67891
Switzerland,67558
United States,67426
Hong Kong,66527
San Marino,62913
Netherlands,60299
Taiwan,57214
Iceland,56974
Saudi Arabia,56912
Sweden,55989
Denmark,55675
Germany,55306
Austria,55171
Australia,54799
Canada,52144
Bahrain,51991
Belgium,50904
Malta,49589
Finland,49548
France,48640
Oman,48593
United Kingdom,48169
Japan,46827
"Korea, South",46452
Spain,43007
Cyprus,42956
New Zealand,42045
Italy,41582
Puerto Rico,41198
Czech Republic,40585
Slovenia,40344
Israel,40337
Lithuania,38751
Slovakia,38321
Estonia,37606
Hungary,35941
Poland,35651
Portugal,34936
Malaysia,34567
Trinidad and Tobago,33713
"Bahamas, The",33432
Seychelles,33118
Latvia,32987
Saint Kitts and Nevis,31950
Greece,31616
Russia,30820
Antigua and Barbuda,30593
Kazakhstan,30178
Romania,29555
Turkey,29327
Croatia,29207
Panama,28456
Chile,27150
Mauritius,26461
Bulgaria,26034
Maldives,24796
Uruguay,24516
Montenegro,21977
Turkmenistan,21855
Mexico,21363
Thailand,21361
Belarus,21224
People's Republic of China,20984
Dominican Republic,20625
Argentina,19971
Equatorial Guinea,19961
Gabon,19839
Serbia,19767
Botswana,19388
Barbados,19364
Azerbaijan,19156
Iraq,18755
Costa Rica,18651
World[n 2],18391
Iran,17832
Grenada,17434
North Macedonia,17378
Guyana,17163
Brazil,17106
Palau,16855
Colombia,16265
Algeria,16091
Suriname,16044
Lebanon,15599
Peru,15399
Saint Lucia,15159
Mongolia,15089
Bosnia and Herzegovina,14894
Albania,14866
Indonesia,14841
Egypt,14800
Sri Lanka,14509
South Africa,13965
Paraguay,13213
Georgia,13200
Tunisia,13093
Kosovo,13017
Saint Vincent and the Grenadines,12983
Dominica,12851
Fiji,12689
Ecuador,11866
Armenia,11845
Namibia,11451
Eswatini,11139
Bhutan,10627
Ukraine,10130
Philippines,10094
Jordan,9939
Jamaica,9932
Morocco,9667
Uzbekistan,9595
Libya,9446
Nauru,9073
India,9027
Guatemala,9009
Belize,8791
Cape Verde,8716
Laos,8684
Vietnam,8677
El Salvador,8593
Bolivia,8525
Moldova,8161
"Congo, Republic of the",7336
Ghana,7343
Myanmar,7220
Tonga,6867
Angola,6763
Samoa,6493
Nigeria,6172
Pakistan,6016
Djibouti,5855
Honduras,5600
Bangladesh,5453
Timor-Leste,5321
Nicaragua,5297
Mauritania,5158
Cambodia,5004
Côte d'Ivoire,4754
Tuvalu,4535
Kyrgyzstan,4193
Zambia,4174
Cameroon,4099
Papua New Guinea,4081
Senegal,4079
Kenya,4078
Sudan,3986
Marshall Islands,3972
Tajikistan,3751
"Micronesia, Federated States of",3657
Lesotho,3655
Tanzania,3652
Benin,3648
Nepal,3550
São Tomé and Príncipe,3499
Vanuatu,3039
Comoros,2898
"Gambia, The",2892
Zimbabwe,2778
Uganda,2753
Ethiopia,2702
Rwanda,2642
Chad,2603
Guinea,2574
Mali,2569
Solomon Islands,2363
Yemen,2312
Kiribati,2193
Afghanistan,2182
Burkina Faso,2181
Guinea-Bissau,2113
Haiti,1916
Togo,1913
Madagascar,1776
Sierra Leone,1765
South Sudan,1715
Liberia,1428
Mozambique,1372
Malawi,1292
Niger,1152
Eritrea,1103
"Congo, Democratic Republic of the",873
Central African Republic,864
Burundi,724
