,Well,Sample,Call,Type,RFU1,RFU2
,A01,06734733,Allele 2,Auto,-3.94084155161454,356.454507837908
,A02,08814647,Allele 2,Auto,-9.69081092065744,338.052056555781
,A03,06881656,Allele 2,Auto,-3.37794808901481,334.383967782956
,A04,10389988,Allele 2,Auto,-2.4049693807533,347.863400676412
,A05,06881608,Allele 2,Auto,-6.38041025250095,299.383200578417
,A06,10389969,Allele 2,Auto,-4.15332026915848,323.121573359006
,A07,06883566,Allele 2,Auto,-12.4488924284178,322.662473845961
,A08,10390008,Allele 2,Auto,-7.23912959495465,339.909142430269
,A09,06881638,Allele 2,Auto,-4.86046550297624,309.927328914453
,A10,10389998,Allele 2,Auto,-7.73562713237015,337.000432181916
,A11,06881633,Allele 2,Auto,-7.06555139359079,377.837503639758
,A12,10384428,Allele 2,Auto,-4.42086366641524,344.458539570987
,A13,06881653,Allele 2,Auto,-7.8946637806248,386.869936297682
,A14,10384463,Allele 2,Auto,-5.58173756823044,323.319310589987
,A15,06881663,Allele 2,Auto,-7.67623077557846,398.744927638555
,A16,10390006,Allele 2,Auto,-5.38919416125691,360.549970055621
,A17,08666868,Allele 2,Auto,-8.38781762297867,383.010868357242
,A18,10389982,Allele 2,Auto,-7.12129192821067,333.902092084283
,A19,06881635,Allele 2,Auto,-5.79359362493005,349.65077890527
,A20,10384436,Allele 2,Auto,-5.23381044130792,315.029448738534
,A21,06881597,Allele 2,Auto,-2.18576957714095,339.965144803974
,A22,10384433,Allele 2,Auto,-4.32161663714487,330.277588764149
,A23,06881613,Allele 2,Auto,-6.79787148077912,337.951808398153
,A24,10384535,Allele 2,Auto,-8.44631220067549,300.332771216706
,B01,10221354,Allele 2,Auto,-6.84648988786421,292.187664624043
,B02,08615324,Allele 2,Auto,-4.47888964207914,341.663348833336
,B03,10221346,Allele 2,Auto,-4.20527659661548,341.240345288853
,B04,07820891,Allele 2,Auto,-7.27571561129616,378.538027332945
,B05,07763036,Allele 2,Auto,-8.34679594810768,329.934375351752
,B06,07819979,Allele 2,Auto,-6.59114049770415,311.692939073949
,B07,07569169,Allele 2,Auto,-4.90334041535198,308.537557298836
,B08,08570922,Allele 2,Auto,-8.11133203118015,328.831796840836
,B09,07569148,Allele 2,Auto,-4.95526294051115,329.27624432202
,B10,07820895,Allele 2,Auto,-4.60200424005006,332.813659374005
,B11,08788364,Allele 2,Auto,-6.00131633657838,276.581028506721
,B12,08615911,Allele 2,Auto,-3.68013443166865,328.096486224906
,B13,07531299,Allele 2,Auto,-4.07326672276349,309.973471289266
,B14,07641564,Allele 2,Auto,-4.01940144140826,324.947525522258
,B15,07837795,Allele 2,Auto,-6.45742912962623,333.016685525379
,B16,08564972,Allele 2,Auto,-5.69209272668513,341.607156091823
,B17,07569014,Allele 2,Auto,-9.30036990959843,327.605769657387
,B18,07805050,Allele 2,Auto,-5.39377480478106,352.968304837402
,B19,07564860,Allele 2,Auto,-6.88301789271509,346.638414337823
,B20,07821396,Allele 2,Auto,-4.79096615281924,330.501516089823
,B21,07532096,Allele 2,Auto,-5.94765238786977,330.575860516341
,B22,07818391,Allele 2,Auto,-8.24223904746532,296.595356626211
,B23,07540958,Allele 2,Auto,-7.41133319225764,362.474453803327
,B24,07821038,Allele 2,Auto,-2.24392328821205,318.088666627563
,C01,06734681,Allele 2,Auto,-7.57149278962197,369.542262657265
,C02,10358334,Allele 2,Auto,-6.66367266848283,339.333948545255
,C03,06881617,Allele 2,Auto,-7.10810241367835,353.856404920292
,C04,10389992,Allele 2,Auto,-3.95657472107268,350.107167170863
,C05,06881681,Allele 2,Auto,-10.7217922323448,392.478894667166
,C06,10384496,Allele 2,Auto,-7.65616070099713,338.360689328446
,C07,06723578,Allele 2,Auto,-9.57561967212177,349.101257240072
,C08,10384462,Allele 2,Auto,-9.70269542619508,340.757170256613
,C09,06881610,Allele 2,Auto,-9.26553395335395,352.218327320185
,C10,10384407,Allele 2,Auto,-6.53925327105526,345.350839838162
,C11,06881644,Allele 2,Auto,-10.9982061718379,362.094028035121
,C12,10384399,Allele 2,Auto,-10.0214310229653,364.748999683765
,C13,06881643,Allele 2,Auto,-7.25548561556889,379.68017162824
,C14,10390051,Allele 2,Auto,-8.09749372237775,335.78098837014
,C15,08664525,Allele 2,Auto,-7.5441248659231,394.906698534456
,C16,10389981,Allele 2,Auto,-7.99461397387813,338.775935828127
,C17,06881377,Allele 2,Auto,-6.50213679062972,374.696019145851
,C18,10389971,Allele 2,Auto,-6.89028086446206,348.758945507723
,C19,06881664,Allele 2,Auto,-9.10233595812451,408.188458452474
,C20,10384440,Allele 2,Auto,-7.05894646047773,373.52004675113
,C21,08677028,Allele 2,Auto,-10.3276388410586,366.537800041311
,C22,10384457,Allele 2,Auto,-9.65468876618343,341.019215953274
,C23,08671071,Allele 2,Auto,-3.58904179706497,387.038877181835
,C24,10384389,Allele 2,Auto,-7.293008631867,359.595749650612
,D01,07764071,Allele 2,Auto,-6.55417678604181,317.263158170323
,D02,07805123,Allele 2,Auto,-6.05242581409129,362.54023522442
,D03,10221374,Allele 2,Auto,-7.55298754636988,348.472340523584
,D04,08565411,Allele 2,Auto,-6.22476656605249,344.266878362256
,D05,10221333,Allele 2,Auto,-8.46063491195446,340.727340611155
,D06,07819036,Allele 2,Auto,-9.03507477703579,336.049268497756
,D07,07563642,Allele 2,Auto,-11.0535208153156,324.280048188376
,D08,08578061,Allele 2,Auto,-6.56327848250794,341.376655354727
,D09,07531694,Allele 2,Auto,-7.76396166475479,364.351006891226
,D10,07506427,Allele 2,Auto,-9.40532020664568,339.379441799449
,D11,08862450,Allele 2,Auto,-6.94413921587693,354.924910459732
,D12,08562818,Allele 2,Auto,-17.8358322463896,320.189888177859
,D13,07569206,Allele 2,Auto,-8.94969658076934,353.472042043241
,D14,08562478,Allele 2,Auto,-5.09759990147222,356.693805085858
,D15,08790059,Allele 2,Auto,-3.62759242493894,355.893356144455
,D16,08564332,Allele 2,Auto,-7.33566152571393,327.38876987133
,D17,07563820,Allele 2,Auto,-5.37389291010322,347.436062961093
,D18,07798255,Allele 2,Auto,-4.43675257956102,341.14982999684
,D19,10216461,Allele 2,Auto,-5.60338661013066,279.177638897964
,D20,08758315,Allele 2,Auto,-7.59892570508282,308.178689410218
,D21,07531930,Allele 2,Auto,-4.45788427760226,353.257656591763
,D22,08759182,Allele 2,Auto,-4.98118417701107,331.423130079953
,D23,08783648,Allele 2,Auto,-7.45805869890864,355.478702795501
,D24,08564890,Allele 2,Auto,-6.52164084101605,330.997956723017
,E01,08506742,Allele 2,Auto,-4.81002009330268,377.373661010183
,E02,10310204,Allele 2,Auto,-4.59033742286374,335.054852741192
,E03,06881586,Allele 2,Auto,-4.54398767540624,374.426688476446
,E04,10390025,Allele 2,Auto,-8.82167141203263,354.912030388915
,E05,06723564,Allele 2,Auto,-8.87701108086048,368.631027604105
,E06,10384461,Allele 2,Auto,-4.22615475805878,315.569459272843
,E07,07547290,Allele 2,Auto,-7.63422231265531,341.130313660403
,E08,10384382,Allele 2,Auto,-3.26292322066911,308.721912850353
,E09,06883587,Allele 2,Auto,-6.6585875423475,331.56200972152
,E10,10384423,Allele 2,Auto,-7.55564020212796,312.211918397334
,E11,06881654,Allele 2,Auto,-4.85691540784046,362.154629720843
,E12,10384402,Allele 2,Auto,-6.94045679489091,348.014431338886
,E13,06881618,Allele 2,Auto,-8.25219677054247,373.736137497881
,E14,10390038,Allele 2,Auto,-8.54084014406362,292.465132271089
,E15,06881660,Allele 2,Auto,-8.99706715479351,391.126028998917
,E16,10384479,Allele 2,Auto,-9.39718108439183,379.640984721219
,E17,06881623,Allele 2,Auto,-8.35938935322429,368.315651903627
,E18,10384437,Allele 2,Auto,-6.23598388419168,330.386383616085
,E19,06881614,Allele 2,Auto,-8.83778432740291,381.741729128225
,E20,10384410,Allele 2,Auto,-5.78451880210014,365.646260043942
,E21,08668229,Allele 2,Auto,-11.1839611002874,393.746622796093
,E22,10389995,Allele 2,Auto,-6.054533824396,386.859651288506
,E23,08670261,Allele 2,Auto,-4.46132396243183,410.082149022091
,E24,10384392,Allele 2,Auto,-6.02842583419033,310.941777239413
,F01,10221348,Allele 2,Auto,-3.49470010498271,338.822844736513
,F02,08615008,Allele 2,Auto,-7.68930592513425,356.577335723091
,F03,10221349,Allele 2,Auto,-4.97029346906493,323.14326490447
,F04,07830578,Allele 2,Auto,-9.68298093523481,358.513897140168
,F05,08717226,Allele 2,Auto,-6.87826275204543,346.391002046622
,F06,08613501,Allele 2,Auto,-8.27115197312651,328.356417567671
,F07,07533231,Allele 2,Auto,-9.04773088424326,323.601700672746
,F08,08731572,Allele 2,Auto,-6.80812468740305,347.142759985374
,F09,10249569,Allele 2,Auto,-8.9693823351663,325.59650632275
,F10,07510517,Allele 2,Auto,-8.59284919458878,347.500530681322
,F11,08858862,Allele 2,Auto,-8.02306865851369,321.759354659323
,F12,07641072,Allele 2,Auto,-7.55622475717973,307.785470495102
