,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,06734733,08814647,06881656,10389988,06881608,10389969,06883566,10390008,06881638,10389998,06881633,10384428,06881653,10384463,06881663,10390006,08666868,10389982,06881635,10384436,06881597,10384433,06881613,10384535
A,Cq,22.5095937335748,25.7359416439239,23.7489961493537,22.8343215479175,22.2550203620576,21.8673726645202,21.8247417364208,21.5300479447517,23.1217903035648,22.9924687898487,28.3737773034086,22.5855401690585,24.3309766837499,23.9126516396349,30.1646345194414,19.820075839117,21.1625047410265,21.5111464558135,24.6715944265627,28.7165243072906,26.0271280381046,25.1158335861674,30.3460372489254,22.1283044596948
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,10221354,08615324,10221346,07820891,07763036,07819979,07569169,08570922,07569148,07820895,08788364,08615911,07531299,07641564,07837795,08564972,07569014,07805050,07564860,07821396,07532096,07818391,07540958,07821038
B,Cq,27.6904213531094,25.6847161008264,20.7290075650464,21.1104053661594,25.5903249256657,21.828150067908,24.0790536713421,22.9955028321329,26.0373524991028,23.9318924665043,24.1893636553462,26.1389125181409,21.5092705527749,24.6273206069287,25.1481880597557,22.7104100039065,23.6921283795098,21.4526268632299,22.6206326300694,23.9958804827636,24.566861971344,24.8378320901475,22.9596531849546,23.223089656432
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,06734681,10358334,06881617,10389992,06881681,10384496,06723578,10384462,06881610,10384407,06881644,10384399,06881643,10390051,08664525,10389981,06881377,10389971,06881664,10384440,08677028,10384457,08671071,10384389
C,Cq,24.5641820182026,27.4922371117031,20.5324213615287,24.3343144606138,20.20914162898,26.3777599654539,21.2038540226768,23.5343009400012,25.5425980846577,27.7616801007916,23.8684197502593,20.5458539328974,24.2933133267823,22.7680447840564,27.2822617001055,24.6903710894677,26.6537185881874,25.2049784747987,25.2140015259214,31.0228595685901,21.2664695008034,23.081656220392,23.2958122252268,24.903301383253
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,07764071,07805123,10221374,08565411,10221333,07819036,07563642,08578061,07531694,07506427,08862450,08562818,07569206,08562478,08790059,08564332,07563820,07798255,10216461,08758315,07531930,08759182,08783648,08564890
D,Cq,29.4953802430611,23.199509739473,28.2059273617385,23.0231096561522,29.7287517999065,21.3134012486314,26.5863362168883,21.9927181863346,21.1012704055015,23.0910199582722,24.6467564151724,20.2710673408846,26.1447954356805,26.9220280136317,22.0825050226608,22.6159982687721,27.5326236595959,24.368994807424,23.6774210911623,27.839400277748,22.5099227713444,23.4352144346507,23.8278658492438,24.6267390654243
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
