OBJECTID,TYPE,YEAR,DATE_,TIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,DATETIME
1,Possession with intent to distribute,2012,2012/01/05 05:00:00+00,,Juvenile,Juvenile,7D,701,,,608,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/01/05 05:00:00+00
2,Possession,2012,2012/01/06 05:00:00+00,,Juvenile,Juvenile,3D,307,,,307,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/06 05:00:00+00
3,Distribution,2012,2012/01/07 05:00:00+00,,Juvenile,Juvenile,1D,105,,,501,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/01/07 05:00:00+00
4,Distribution,2012,2012/01/07 05:00:00+00,,Juvenile,Juvenile,1D,105,,,501,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/01/07 05:00:00+00
5,Possession,2012,2012/01/08 05:00:00+00,,Juvenile,Juvenile,7D,703,,,702,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/08 05:00:00+00
6,Possession,2012,2012/01/09 05:00:00+00,,Juvenile,Juvenile,7D,703,,,505,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/09 05:00:00+00
7,Possession,2012,2012/01/10 05:00:00+00,,Juvenile,Juvenile,1D,105,,,105,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/10 05:00:00+00
8,Distribution,2012,2012/01/11 05:00:00+00,,Juvenile,Juvenile,1D,102,,,101,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/01/11 05:00:00+00
9,Possession,2012,2012/01/14 05:00:00+00,,Juvenile,Juvenile,6D,605,,,603,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/14 05:00:00+00
10,Possession with intent to distribute,2012,2012/01/18 05:00:00+00,,Juvenile,Juvenile,6D,604,,,603,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/01/18 05:00:00+00
